Isolate	Contigs	bp
EGBHGP.ext	224	2143799
GLS5KA.ext	188	2161817
3G1AXK.ext	259	2200422
HRAAFA.ext	168	2104259
ASHRMB.ext	151	2158155
6GE3NE.ext	175	2126727
4WCN3O.ext	203	2235311
KQHC1C.ext	158	2157865
RKDF2P.ext	240	2236352
W7T1ZN.ext	193	2179809
CO4IXB.ext	164	2121851
32WU5F.ext	183	2182346
SALNVV.ext	208	2208191
B1GKXS.ext	182	2092599
X8KYPJ.ext	209	2133616
JQ9HFC.ext	216	2117102
HOA64A.ext	236	2184662
3MND36.ext	252	2206134
AD47DL.ext	195	2093537
6EI2TX.ext	245	2190939
04DCLP.ext	215	2154166
42G9L5.ext	189	2142184
HUCME1.ext	229	2096651
H9KFBY.ext	203	2093042
NX1CRT.ext	198	2115142
F0L894.ext	303	2197685
2B0SYL.ext	258	2163841
AWKCBO.ext	290	2228390
IPZAE8.ext	191	2161500
31QDL4.ext	188	2152223
DGDP23.ext	198	2140676
J11IEP.ext	266	2162999
6URDI0.ext	188	2149797
78LR96.ext	196	2129412
FYS02V.ext	253	2134811
106P4Y.ext	428	5477803
4ZXGTL.ext	569	2204001
CKTCXR.ext	597	2207457
LAKODL.ext	35	2919188
J9U3SJ.ext	99	4901360
NG0HH6.ext	401	2108817
DHKXVT.ext	700	2224354
66I49J.ext	1664	2233879
YRACB0.ext	126	5572812
QE15DV.ext	228	2119829
6LTLD9.ext	752	2290294
IVG1IB.ext	371	2108168
VBO5XS.ext	293	2121691
RFLTU9.ext	511	2220797
3M5WZX.ext	363	2111698
K7SM8W.ext	355	2106419
GUG9KD.ext	329	2109461
K8YJER.ext	580	2210742
2NUFAM.ext	41	1725198
YGVG18.ext	320	2113443
GI8MZY.ext	514	2103321
7XROWM.ext	219	2120580
HBHH8E.ext	68	1822955
BW6JLX.ext	263	2087041
ZOZ0O1.ext	194	2108767
D9B15T.ext	537	2329933
URIX2W.ext	211	2182601
DFC03W.ext	228	2126249
YL3C49.ext	204	2125642
Y1LF8S.ext	179	2113017
26G9VX.ext	383	2097793
GPDGT1.ext	137	2101709
ZHWIEA.ext	147	2121744
6BN2CO.ext	145	2111413
F2XV2H.ext	219	2181438
Y21TDF.ext	175	2095040
LTXSNV.ext	143	2109105
CB2YWU.ext	160	2104107
GEIP6G.ext	160	2110810
0OKN9O.ext	204	2109802
7YIDM4.ext	225	2121112
2AZ3JJ.ext	226	2113923
ITYSO9.ext	95	6965106
S0LZ9Y.ext	205	2110794
SFS184.ext	228	2123322
P9JR4T.ext	253	2113429
LZZN21.ext	226	2112972
I25N0N.ext	387	2212983
6ZUI4F.ext	222	2120523
8ZEUVA.ext	269	2185049
XGIOVX.ext	355	2219438
N5FBXZ.ext	220	2117042
VOUJC7.ext	1132	2131524
L7MK2H.ext	226	2137024
QQNLEV.ext	222	2125184
M0YAPY.ext	248	2116700
PI3TK2.ext	239	2119383
ZYP815.ext	247	2124336
2WC6NV.ext	210	2119682
CTT8VU.ext	301	2104693
F6UPWK.ext	217	2117770
FPJ9P0.ext	272	2107512
35P4QL.ext	221	2111689
GXMBHI.ext	316	2173776
3RY9Y1.ext	221	2112997
ND64PR.ext	232	2114772
BBIB89.ext	355	2212259
62UQJ0.ext	299	2104930
QBO28R.ext	220	2119867
IJNNHF.ext	248	2124341
DQU0KM.ext	239	2159678
W194D0.ext	304	2107580
Q6LJ1U.ext	301	2218743
CGHY9F.ext	204	2117416
2N8S53.ext	368	2114439
CTGTWG.ext	346	2114637
V64R0S.ext	347	2115087
DFYGFG.ext	347	2113266
6I5BVM.ext	291	2107551
P44KDR.ext	351	2226712
G0RIN6.ext	345	2114634
KXMMN0.ext	340	2117595
O7HY3Q.ext	252	2130533
N34ZV8.ext	255	2170921
T64H68.ext	267	2172482
WO196R.ext	202	2117965
R4WM2A.ext	210	2122114
QKCDEH.ext	220	2113209
1BKM8U.ext	216	2114549
932079.ext	282	2095218
T7BWAO.ext	214	2111954
HNIM6X.ext	202	2111564
SK50ZV.ext	279	2173443
2USXDR.ext	234	2114121
S4S6AC.ext	221	2118163
GEHB9E.ext	230	2122561
WEZ4DI.ext	271	2091911
O85U5Z.ext	216	2120404
SW0HQL.ext	339	2114668
L0F6AM.ext	210	2121127
6DWKWF.ext	228	2114649
XDJ5MQ.ext	264	2103446
0GSKIO.ext	226	2116985
HQRIWB.ext	342	2203776
CW0840.ext	1400	2126658
K5E6K0.ext	228	2113067
8PG0I2.ext	222	2115727
YQN1VM.ext	269	2114348
BBJPDX.ext	463	2206653
FFVMR8.ext	268	2118326
IADZZ7.ext	281	2112994
QXH8NH.ext	208	2107557
VS2CTI.ext	255	2118402
DEMQOD.ext	289	2106779
HFQ2K8.ext	233	2121397
WYGFSQ.ext	215	2118465
WUQCBT.ext	237	2127714
SQFMCY.ext	993	2150472
L8JUO9.ext	248	2118514
W9C1HU.ext	227	2117703
AAXMG0.ext	208	2122319
I0NYH2.ext	333	2139692
LQ7V90.ext	251	2115240
O3F1X6.ext	199	2111123
7ZDX4Y.ext	308	2105583
R7BKFD.ext	232	2122831
UTH73M.ext	274	2107003
1PCVMP.ext	445	2108329
IT9HW6.ext	416	2146411
VIJ1E2.ext	258	2164836
AF178J.ext	221	2116322
GSKXRS.ext	242	2095062
23PX60.ext	285	2106170
K1S21H.ext	240	2102414
X6U53T.ext	252	2113071
K5JYKT.ext	182	2117741
UTV9VC.ext	231	2115149
JJ2S00.ext	291	2124298
PYXXQ3.ext	254	2183572
NXPKK1.ext	274	2146157
47Z47X.ext	1	4411532
