Isolate	MLST_A	MLST_B	Contigs	bp
ND64PR	11	No MLST	232	2114772
BBIB89	No MLST	No MLST	355	2212259
62UQJ0	1655	No MLST	299	2104930
QBO28R	11	No MLST	220	2119867
IJNNHF	11	No MLST	248	2124341
DQU0KM	154	No MLST	239	2159678
W194D0	1655	No MLST	304	2107580
Q6LJ1U	5390	No MLST	301	2218743
CGHY9F	11	No MLST	204	2117416
2N8S53	11	No MLST	368	2114439
CTGTWG	11	No MLST	346	2114637
V64R0S	11	No MLST	347	2115087
DFYGFG	No MLST	No MLST	347	2113266
6I5BVM	1655	No MLST	291	2107551
P44KDR	22	No MLST	351	2226712
G0RIN6	11	No MLST	345	2114634
KXMMN0	11	No MLST	340	2117595
O7HY3Q	11	No MLST	252	2130533
N34ZV8	154	No MLST	255	2170921
T64H68	2931	No MLST	267	2172482
WO196R	11	No MLST	202	2117965
R4WM2A	11	No MLST	210	2122114
QKCDEH	11	No MLST	220	2113209
1BKM8U	11	No MLST	216	2114549
932079	23	No MLST	282	2095218
T7BWAO	11	No MLST	214	2111954
HNIM6X	11	No MLST	202	2111564
SK50ZV	7808	No MLST	279	2173443
2USXDR	11	No MLST	234	2114121
S4S6AC	11	No MLST	221	2118163
GEHB9E	8857	No MLST	230	2122561
WEZ4DI	23	No MLST	271	2091911
O85U5Z	11	No MLST	216	2120404
SW0HQL	8345	No MLST	339	2114668
L0F6AM	11	No MLST	210	2121127
6DWKWF	11	No MLST	228	2114649
XDJ5MQ	1655	No MLST	264	2103446
0GSKIO	206	No MLST	226	2116985
HQRIWB	184	No MLST	342	2203776
CW0840	1655	No MLST	1400	2126658
K5E6K0	11	No MLST	228	2113067
8PG0I2	No MLST	No MLST	222	2115727
YQN1VM	12351	No MLST	269	2114348
BBJPDX	213	No MLST	463	2206653
FFVMR8	11	No MLST	268	2118326
IADZZ7	11	No MLST	281	2112994
QXH8NH	11	No MLST	208	2107557
VS2CTI	11	No MLST	255	2118402
DEMQOD	1655	No MLST	289	2106779
HFQ2K8	11	No MLST	233	2121397
WYGFSQ	11	No MLST	215	2118465
WUQCBT	11	11	237	2127714
SQFMCY	32	No MLST	993	2150472
L8JUO9	11	No MLST	248	2118514
W9C1HU	11	No MLST	227	2117703
AAXMG0	41	No MLST	208	2122319
I0NYH2	11432	No MLST	333	2139692
LQ7V90	11	No MLST	251	2115240
O3F1X6	12351	No MLST	199	2111123
7ZDX4Y	1655	No MLST	308	2105583
R7BKFD	11	11	232	2122831
UTH73M	1655	1655	274	2107003
1PCVMP	1655	1655	445	2108329
IT9HW6	11760	11760	416	2146411
VIJ1E2	343	343	258	2164836
AF178J	11	11	221	2116322
GSKXRS	4821	4821	242	2095062
23PX60	4821	4821	285	2106170
K1S21H	4821	4821	240	2102414
X6U53T	9293	9293	252	2113071
K5JYKT	11	11	182	2117741
UTV9VC	11	11	231	2115149
JJ2S00	1655	1655	291	2124298
PYXXQ3	467	467	254	2183572
NXPKK1	11	11	274	2146157
47Z47X	No MLST	No MLST	1	4411532
